Paper_ID,DOI,Journal,Year,Polymer_type,Polymer_MW_kDa,Solvent_system,Solvent_ratio,Fiber_diameter_nm_std,Solvent_density_gmL,c_star_wt_pct,Polymer_conc_wt,intrinsic_viscosity_dLg,c_over_cstar,Solvent_ST_mNm,Solvent_BP_C,Air_pressure_bar_std,Feed_rate_mLh_std,Working_distance_cm,log_diameter
Medeiros2009,10.1002/app.30275,J_Appl_Polym_Sci,2009,PMMA,120,chloroform,NR,1520.0,1.489,1.1967916950381234,10.0,0.5611600373295292,8.35567295583669,27.14,61.2,2.76,4.8,20.0,7.326465613840322
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,288.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,4.0,4.8,12.0,5.662960480135946
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,289.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,4.0,7.2,12.0,5.666426688112432
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,222.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,2.0,1.2,12.0,5.402677381872279
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,405.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,3.0,4.8,12.0,6.003887067106539
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,378.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,4.0,7.2,12.0,5.934894195619588
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,334.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,3.0,4.8,12.0,5.811140992976701
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,398.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,3.0,7.2,12.0,5.986452005284438
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,340.0,1.31275,0.607615055865619,6.0,1.2536879352677186,9.874673022136188,26.22,59.925,4.0,1.2,12.0,5.828945617610208
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,609.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,2.0,4.8,12.0,6.411818267709897
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,288.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,2.0,7.2,12.0,5.662960480135946
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,322.0,1.31275,0.607615055865619,8.0,1.2536879352677186,13.166230696181582,26.22,59.925,3.0,1.2,12.0,5.7745515455444085
Oliveira2011,10.1002/app.34410,J_Appl_Polym_Sci,2011,PDLLA,75,chloroform/acetone,3:1,184.0,1.31275,0.607615055865619,4.0,1.2536879352677186,6.583115348090791,26.22,59.925,2.0,1.2,12.0,5.214935757608986
